Region,Life Expectancyat Birth (Years) Total,Life Expectancyat Birth (Years) for Males,Life Expectancyat Birth (Years) for Females,"Ages 15+ WithHIV/AIDS (%), 2018 for Males","Ages 15+ With HIV/AIDS (%), 2018 for Females",Urban Population (%),Population of Cities in 1 Million+(%),Average Household Size,Population per km2 of Arable Land,GNI per Capita PPP 2018
AFRICA,64,62,65,2.4,4.1,43,16,4.7,551,"4,820"
Northern Africa,74,72,75,0.1,<0.1,53,19,4.5,579,"9,741"
Algeria,78,77,78,<0.1,<0.1,73,6,—,594,"11,370"
Egypt,74,73,75,<0.1,<0.1,43,25,4.1,"3,617","11,350"
Libya,76,74,79,0.3,0.1,80,17,—,401,"14,820"
Morocco,76,75,78,0.1,<0.1,63,24,4.2,460,"8,430"
Sudan,65,63,67,0.3,0.2,36,13,5.9,221,"4,430"
Tunisia,76,75,78,<0.1,<0.1,69,20,3.9,456,"10,630"
Western Sahara,70,69,72,—,—,87,0,—,"14,925",—
Sub-Saharan Africa,62,60,63,3.0,5.2,41,15,4.7,545,"3,667"
Western Africa,58,57,59,1.1,1.8,47,16,5.1,459,"3,972"
Benin,61,59,63,0.8,1.3,45,9,5.2,436,"3,200"
Burkina Faso,61,61,62,0.6,0.9,30,13,5.7,348,"1,890"
Cabo Verde,73,70,76,0.6,0.6,66,0,—,"1,112","6,900"
Côte d'Ivoire,58,57,59,1.7,3.5,51,20,5.1,748,"3,660"
Gambia,62,61,64,1.5,2.3,62,0,8.0,549,"2,160"
Ghana,64,63,65,1.1,2.3,57,19,3.8,661,"5,220"
Guinea,60,59,62,1.0,1.9,36,14,6.2,405,"2,510"
Guinea-Bissau,61,59,64,2.7,4.3,44,0,—,642,"1,990"
Liberia,64,63,66,1.0,1.6,52,30,5.2,"1,012","1,330"
Mali,61,59,63,1.0,1.8,43,13,5.8,316,"2,280"
Mauritania,65,63,66,0.3,0.2,55,27,4.0,"1,163","3,770"
Niger,59,58,60,0.3,0.3,16,5,5.9,137,870
Nigeria,55,54,56,1.3,1.8,51,17,4.7,606,"5,040"
Senegal,68,66,70,0.3,0.5,47,18,8.7,509,"3,330"
Sierra Leone,55,54,56,1.2,1.8,42,15,5.9,504,"1,580"
Togo,61,60,62,1.6,2.9,42,22,4.4,312,"1,600"
