Region,Life Expectancyat Birth (Years) Total,Life Expectancyat Birth (Years) for Males,Life Expectancyat Birth (Years) for Females,"Ages 15+ WithHIV/AIDS (%), 2018 for Males","Ages 15+ With HIV/AIDS (%), 2018 for Females",Urban Population (%),Population of Cities in 1 Million+(%),Average Household Size,Population per km2 of Arable Land,GNI per Capita PPP 2018
ASIA,73,71,75,—,—,51,23,—,929,"12,810"
Asia (Excluding China),72,70,74,—,—,46,21,4.5,848,"11,529"
Western Asia,75,73,77,—,—,72,34,—,737,"29,309"
Armenia,76,72,79,0.2,0.1,64,37,3.5,663,"13,190"
Azerbaijan,76,73,78,—,—,53,23,4.1,483,"13,780"
Bahrain,77,76,78,—,—,89,0,—,"91,578","44,700"
Cyprus,81,79,83,—,—,68,0,2.6,"1,262","39,880"
Georgia,74,70,78,0.5,0.2,59,28,3.4,"1,147","13,980"
Iraq,72,70,74,—,—,70,27,6.3,794,"10,780"
Israel,83,81,85,0.2,<0.1,92,61,3.3,"2,381","40,280"
Jordan,74,73,76,<0.1,<0.1,91,21,4.7,"5,711","10,050"
Kuwait,82,81,83,0.1,<0.1,100,72,—,"54,545","59,760"
Lebanon,79,77,81,<0.1,<0.1,89,40,—,"5,170","16,330"
Oman,78,76,81,0.2,0.1,85,30,5.1,"6,801","29,160"
Palestinian Territory,74,73,75,—,—,76,0,5.1,"9,855","6,750"
Qatar,79,79,82,—,—,100,0,4.7,"20,275","94,910"
Saudi Arabia,76,74,78,—,—,84,48,—,"1,011","49,200"
Syria,74,72,75,<0.1,<0.1,55,30,—,416,—
Turkey,78,76,81,—,—,76,40,3.4,418,"27,710"
United Arab Emirates,78,77,79,—,—,87,62,—,"21,974","67,870"
Yemen,66,65,68,0.1,<0.1,37,10,6.7,"2,717",—
Central Asia,73,70,76,0.3,0.1,48,10,4.7,201,"11,088"
Kazakhstan,72,68,77,0.3,0.2,59,22,3.4,64,"22,950"
Kyrgyzstan,72,68,76,0.3,0.2,34,16,4.0,512,"5,110"
Tajikistan,75,73,77,0.3,0.1,26,0,6.0,"1,310","3,890"
Turkmenistan,68,65,72,—,—,52,0,—,311,"14,570"
Uzbekistan,75,72,77,0.3,0.1,51,8,5.1,849,"7,110"
