Region,Life Expectancyat Birth (Years) Total,Life Expectancyat Birth (Years) for Males,Life Expectancyat Birth (Years) for Females,"Ages 15+ WithHIV/AIDS (%), 2018 for Males","Ages 15+ With HIV/AIDS (%), 2018 for Females",Urban Population (%),Population of Cities in 1 Million+(%),Average Household Size,Population per km2 of Arable Land,GNI per Capita PPP 2018
Eastern Africa,65,63,67,3.3,5.4,29,8,4.5,652,"2,457"
Burundi,62,60,64,0.7,1.3,13,8,4.8,989,780
Comoros,64,62,66,<0.1,<0.1,29,0,5.4,"1,318","3,160"
Djibouti,67,65,69,1.0,1.4,78,0,—,"49,400","5,400"
Eritrea,66,64,68,0.5,0.9,41,0,—,514,—
Ethiopia,67,65,69,0.7,1.4,21,4,4.6,720,"2,140"
Kenya,69,67,70,3.4,6.1,32,11,3.6,923,"4,260"
Madagascar,67,66,69,0.4,0.2,38,12,4.5,923,"1,600"
Malawi,64,61,67,7.3,11.1,17,6,4.5,531,"1,070"
Mauritius,75,71,78,1.8,0.9,41,0,3.5,"1,687","24,980"
Mayotte,76,76,77,—,—,46,0,4.1,"1,647",—
Mozambique,55,54,57,10.0,15.1,32,9,4.5,552,"1,290"
Réunion,82,79,85,—,—,100,0,2.6,"2,520",—
Rwanda,69,67,71,1.8,3.2,18,9,4.0,"1,125","2,070"
Seychelles,73,70,77,—,—,57,0,—,"65,333","26,920"
Somalia,57,56,59,<0.1,0.1,46,14,—,"1,445",860
South Sudan,58,56,59,2.0,3.0,20,0,6.0,—,—
Tanzania,65,63,67,3.5,5.7,35,12,4.7,442,"3,140"
Uganda,63,61,65,4.4,7.1,24,7,4.5,663,"1,780"
Zambia,64,61,67,8.8,13.8,44,15,5.0,484,"3,500"
Zimbabwe,61,60,63,10.0,15.4,32,9,4.0,372,"3,350"
Middle Africa,60,58,62,1.1,2.3,50,25,5.1,582,"2,866"
Angola,61,59,63,1.2,2.7,63,25,4.8,664,"6,780"
Cameroon,62,60,63,2.4,4.7,57,29,5.0,429,"3,610"
Central African Republic,53,51,55,2.9,4.2,42,0,—,268,"1,030"
Chad,58,56,59,1.1,1.5,23,9,5.8,325,"1,590"
Congo,64,63,66,1.6,3.7,67,63,4.3,"1,003","3,000"
"Congo, Dem. Rep.",60,58,62,0.4,1.1,45,26,5.2,759,"1,070"
Equatorial Guinea,59,58,60,5.9,8.8,72,0,6.4,"1,169","15,750"
Gabon,68,66,70,2.0,5.7,90,0,4.1,686,"14,110"
São Tomé and Príncipe,68,65,71,0.8,0.6,68,0,—,"5,256","4,060"
Southern Africa,64,61,67,15.0,25.6,64,32,3.3,496,"12,276"
Botswana,64,62,66,16.2,24.6,70,0,3.5,899,"17,460"
Swatini,58,56,60,19.2,34.8,24,0,4.0,631,"8,820"
Lesotho,54,51,58,18.5,28.8,29,0,3.7,517,"3,500"
Namibia,63,60,66,9.3,14.1,48,0,4.2,318,"10,490"
South Africa,65,62,68,15.0,25.8,67,36,3.2,497,"12,530"
