Region,Life Expectancyat Birth (Years) Total,Life Expectancyat Birth (Years) for Males,Life Expectancyat Birth (Years) for Females,"Ages 15+ WithHIV/AIDS (%), 2018 for Males","Ages 15+ With HIV/AIDS (%), 2018 for Females",Urban Population (%),Population of Cities in 1 Million+(%),Average Household Size,Population per km2 of Arable Land,GNI per Capita PPP 2018
South America,76,73,80,—,—,84,40,3.3,367,"15,391"
Argentina,78,74,81,0.6,0.3,92,43,3.3,116,"22,470"
Bolivia,73,70,77,0.4,0.2,69,42,3.3,274,"8,640"
Brazil,76,72,80,—,—,87,42,3.0,382,"14,530"
Chile,80,78,83,0.9,0.2,88,37,3.1,"1,519","23,750"
Colombia,76,73,79,0.7,0.2,77,45,3.5,"2,776","14,310"
Ecuador,77,74,80,0.5,0.2,64,28,3.7,"1,695","11,530"
French Guiana,80,77,84,—,—,86,0,3.4,"2,216",—
Guyana,70,67,73,1.5,1.4,27,0,3.8,187,"9,300"
Paraguay,74,72,76,0.6,0.3,62,47,3.9,149,"12,830"
Peru,77,74,80,0.5,0.2,78,32,3.8,941,"12,450"
Suriname,72,69,75,1.5,1.2,66,0,3.8,930,"14,390"
Uruguay,78,74,81,0.8,0.3,95,50,2.8,145,"20,590"
Venezuela,71,68,75,—,—,88,29,3.9,"1,102",—
