Region,Life Expectancyat Birth (Years) Total,Life Expectancyat Birth (Years) for Males,Life Expectancyat Birth (Years) for Females,"Ages 15+ WithHIV/AIDS (%), 2018 for Males","Ages 15+ With HIV/AIDS (%), 2018 for Females",Urban Population (%),Population of Cities in 1 Million+(%),Average Household Size,Population per km2 of Arable Land,GNI per Capita PPP 2018
WORLD,73,70,75,—,—,56,24,4.0,558,"16,885"
MORE DEVELOPED,79,77,82,—,—,79,32,2.5,251,"46,188"
LESS DEVELOPED,71,69,73,—,—,51,23,—,733,"10,814"
LESS DEVELOPED (Excluding China),70,68,72,—,—,48,20,4.5,662,"9,434"
LEAST DEVELOPED,65,63,67,1.4,2.2,34,13,5.0,577,"2,923"
HIGH INCOME,81,78,83,—,—,82,38,2.5,362,"50,752"
MIDDLE INCOME,72,70,74,—,—,53,23,—,630,"11,537"
UPPER MIDDLE INCOME,76,73,79,—,—,67,30,—,519,"16,809"
LOWER MIDDLE INCOME,69,67,70,—,—,41,17,4.6,772,"6,887"
LOW INCOME,64,62,66,1.6,2.7,33,12,5.1,553,"2,330"
