Region,Population(millions)mid-2020,"Births per 1,000Population","Deaths per 1,000 Population",Rate of Natural Increase (%),Net Migration Rate,Population(millions) in mid-2035,Population(millions) in mid-2050,Infant Mortality Rate,Total Fertility Rate,Population (%)mid-2020 for Ages <15,Population (%)mid-2020 for Ages 65+,"Family Planning AmongMarried Women Ages 15-49 Using All
Methods (%)",Family Planning AmongMarried Women Ages 15-49c Using Modern Methods (%),Demand Satisfied by Modern Methods (%) ,Population(millions)mid-2034
AMERICAS,"1,019",14,7,0.8,1,"1,130","1,193",12,1.9,22,11,76,70,—,
Northern America,368,11,8,0.3,3,406,435,6,1.7,18,17,77,68,—,
Canada,38.2,10,8,0.2,14,43.8,48.8,4.7,1.5,16,18,85g,—,—,
United States of America,329.9,12,9,0.3,2,361.8,385.7,5.7,1.7,18,16,76,68,—,
Latin America and the Caribbean,651,16,6,1.0,-1,724,759,14,2.0,24,9,76,71,—,
Central America,179,18,6,1.2,0,203,216,13,2.2,28,7,71,67,—,
Belize,0.4,20,5,1.5,3,0.5,0.6,13,2.3,36,4,51,49,66,
Costa Rica,5.1,13,5,0.8,3,5.7,6.1,8.3,1.6,22,9,71,69,83,
El Salvador,6.5,19,6,1.3,-4,6.6,6.1,12,2.1,26,8,72,68,82,
Guatemala,18.1,22,5,1.7,0,23.4,27.7,20,2.7,37,5,61,49,66,
Honduras,9.9,19,5,1.4,-2,11.6,12.7,15,2.2,30,5,73,64,76,
Mexico,127.8,17,6,1.2,0,141.9,148.2,11,2.1,27,7,73,70,—,
Nicaragua,6.6,21,4,1.8,5,7.7,8.5,16,2.4,31,5,80,77,90,
Panama,4.3,19,5,1.4,1,5.2,5.8,14,2.4,26,8,51,47,63,
Caribbean,43,16,8,0.8,-4,45,46,32,2.1,24,10,58,56,71,
Antigua and Barbuda,0.1,11,6,0.4,0,0.1,0.1,9,2.0,21,9,—,—,—,
Bahamas,0.4,14,7,0.7,3,0.4,0.5,6,1.7,22,7,—,—,—,
Barbados,0.3,11,9,0.2,0,0.3,0.3,10,1.6,17,16,59,55,70,
Cuba,11.3,10,10,0.1,-2,10.9,10.0,4.0,1.6,16,15,74,72,88,
Curaçao,0.2,10,9,0.1,-17,0.2,0.2,8.1,1.6,17,18,—,—,—,
Dominica,0.07,10,10,0.0,1,0.07,0.07,20,1.8,22,11,—,—,—,
Dominican Republic,10.5,19,6,1.3,-3,11.8,12.5,22,2.3,27,6,70,68,84,
Grenada,0.1,16,10,0.6,-2,0.1,0.1,21,2.0,24,10,—,—,—,
Guadeloupe,0.4,11,9,0.2,-14,0.4,0.4,8.0,2.1,18,21,—,—,—,
Haiti,11.4,24,8,1.6,-3,13.3,14.9,59,3.0,33,5,34,32,44,
Jamaica,2.8,16,8,0.8,-9,2.7,2.3,12,2.1,26,9,73,68,79,
Martinique,0.4,10,9,0.1,-13,0.3,0.3,10,2.0,15,23,—,—,—,
Puerto Rico,3.2,7,9,-0.2,-14,2.6,2.1,6.6,1.0,15,20,—,—,—,
St. Kitts-Nevis,0.05,13,7,0.6,0,0.06,0.06,8,1.8,20,9,—,—,—,
Saint Lucia,0.2,12,7,0.5,0,0.2,0.2,12,1.4,19,9,56,53,72,
St. Vincent and the Grenadines,0.1,14,9,0.5,-2,0.1,0.1,14,1.9,22,10,—,—,—,
Trinidad and Tobago,1.4,13,9,0.4,-1,1.4,1.3,17,1.5,21,9,40,38,58,
