Region,Population(millions)mid-2020,"Births per 1,000Population","Deaths per 1,000 Population",Rate of Natural Increase (%),Net Migration Rate,Population(millions) in mid-2035,Population(millions) in mid-2050,Infant Mortality Rate,Total Fertility Rate,Population (%)mid-2020 for Ages <15,Population (%)mid-2020 for Ages 65+,"Family Planning AmongMarried Women Ages 15-49 Using All
Methods (%)",Family Planning AmongMarried Women Ages 15-49c Using Modern Methods (%),Demand Satisfied by Modern Methods (%) 
ASIA,"4,626",17,7,1.0,0,"5,112","5,331",27,2.0,24,9,64,57,—
Asia (Excluding China),"3,215",19,6,1.3,0,"3,680","3,956",31,2.3,27,7,55,47,—
Western Asia,281,20,5,1.6,3,344,389,18,2.6,28,6,52,37,—
Armenia,3.0,12,9,0.3,-5,2.9,2.8,6,1.6,20,12,57,28,40
Azerbaijan,10.1,14,6,0.8,0,10.9,11.0,11,1.8,22,7,55,14,—
Bahrain,1.5,14,2,1.2,22,1.8,2.0,6,2.0,19,3,—,—,—
Cyprus,1.2,11,7,0.4,4,1.4,1.4,3,1.5,17,14,—,—,—
Georgia,3.7,13,13,0.0,-3,3.8,3.5,8,2.0,20,15,41,33,51
Iraq,39.7,27,4,2.3,0,52.4,64.3,23,3.6,37,3,53,36,54
Israel,9.2,20,5,1.5,3,11.3,13.5,3.0,3.0,28,12,—,—,—
Jordan,10.7,22,4,1.8,1,12.9,13.9,17,2.7,34,4,52,37,57
Kuwait,4.7,14,2,1.2,7,5.4,5.9,7,2.2,22,3,—,—,—
Lebanon,6.8,17,5,1.2,-12,6.2,6.5,9,2.1,26,7,55,47,—
Oman,4.7,21,2,1.9,19,5.7,6.4,9,2.9,22,3,30,19,40
Palestinian Territory,5.0,30,4,2.7,-2,6.8,8.7,17,3.5,38,3,57,44,65
Qatar,2.8,10,1,0.9,15,3.4,3.8,6,1.8,14,1,38,34,69
Saudi Arabia,35.0,15,3,1.2,4,43.1,48.1,12,2.0,25,3,25,21,—
Syria,19.4,24,5,1.9,19,28.1,33.2,17,3.0,34,5,54,38,53
Turkey,83.7,18,5,1.2,2,97.2,105.0,9,2.3,23,9,70,49,60
United Arab Emirates,9.8,11,1,1.0,4,10.6,10.3,6,1.4,15,1,—,—,—
Yemen,29.8,30,6,2.4,-1,39.6,48.1,43,3.7,39,3,34,29,47
Central Asia,75,23,5,1.8,-1,89,101,16,2.8,30,5,54,52,—
Kazakhstan,18.7,21,7,1.4,-1,21.5,24.0,8,2.8,28,7,53,50,73
Kyrgyzstan,6.6,27,5,2.2,-1,8.0,9.2,15,3.3,32,5,39,38,67
Tajikistan,9.4,25,4,2.2,0,12.5,16.0,27,3.5,34,3,29,27,52
Turkmenistan,6.0,23,7,1.6,-1,7.1,7.9,43,3.0,31,4,50,47,76
Uzbekistan,34.2,23,5,1.9,0,39.9,43.8,11,2.5,29,5,65,62,—
