Region,Population(millions)mid-2020,"Births per 1,000Population","Deaths per 1,000 Population",Rate of Natural Increase (%),Net Migration Rate,Population(millions) in mid-2035,Population(millions) in mid-2050,Infant Mortality Rate,Total Fertility Rate,Population (%)mid-2020 for Ages <15,Population (%)mid-2020 for Ages 65+,"Family Planning AmongMarried Women Ages 15-49 Using All
Methods (%)",Family Planning AmongMarried Women Ages 15-49c Using Modern Methods (%),Demand Satisfied by Modern Methods (%) 
Eastern Africa,445,35,7,2.8,-1,645,874,43,4.5,42,3,44,39,62
Burundi,11.9,37,6,3.1,-3,18.3,25.5,41,5.3,44,3,29,23,39
Comoros,0.9,32,7,2.5,-2,1.2,1.5,52,4.2,40,3,19,14,27
Djibouti,1.0,21,7,1.4,1,1.2,1.3,32,2.7,30,5,19,18,—
Eritrea,3.5,30,7,2.3,-10,4.7,6.0,33,4.0,42,4,8,7,20
Ethiopia,114.9,33,6,2.7,0,161.0,208.6,39,4.3,40,3,40,38,62
Kenya,53.5,28,5,2.3,0,71.9,89.7,35,3.5,39,3,63,61,79
Madagascar,27.7,37,6,3.1,0,43.7,61.3,40,4.6,40,3,44,41,65
Malawi,19.1,34,7,2.7,-1,28.0,38.1,40,4.2,44,3,59,58,75
Mauritius,1.3,10,9,0.1,-1,1.3,1.2,14.5,1.4,18,11,64,32,42
Mayotte,0.3,36,3,3.4,0,0.4,0.6,4,4.7,44,3,—,—,—
Mozambique,31.2,39,11,2.8,-2,45.8,65.7,55,4.9,46,3,27,25,50
Réunion,0.9,15,6,1.0,-1,0.9,1.0,7,2.4,22,13,—,—,—
Rwanda,13.0,32,5,2.7,-1,17.9,23.0,28,4.0,40,3,53,48,66
Seychelles,0.1,16,8,0.8,-2,0.1,0.1,13.5,2.4,24,8,—,—,—
Somalia,15.9,42,11,3.1,-2,24.3,34.9,68,6.0,47,3,15,14,—
South Sudan,11.2,35,10,2.5,-13,15.3,20.0,63,4.7,42,3,—,5g,—
Tanzania,59.7,37,6,3.1,-1,90.4,129.4,40,4.9,44,3,38,32,53
Uganda,45.7,39,6,3.3,1,69.5,97.7,45,5.0,47,2,42,36,54
Zambia,18.4,37,6,3.1,0,28.8,42.5,42,4.7,44,2,50,48,69
Zimbabwe,14.9,33,8,2.5,-6,20.0,26.3,47,3.9,42,3,67,66,85
Middle Africa,180,42,9,3.3,-1,281,413,64,5.8,46,3,22,15,30
Angola,32.5,44,9,3.5,0,53.3,82.2,66,6.1,48,2,14,13,24
Cameroon,26.6,38,8,3.0,0,39.4,55.0,48,4.8,42,3,19,15,36
Central African Republic,4.8,35,12,2.3,-7,6.6,8.4,80,4.7,44,3,15,12,29
Chad,16.9,43,11,3.2,0,26.2,37.5,72,5.9,48,2,6,5,18
Congo,5.5,33,7,2.6,-1,7.9,10.7,34,4.4,42,3,30,19,39
"Congo, Dem. Rep.",89.6,44,9,3.5,-1,141.7,212.1,68,6.2,46,3,28,18,31
Equatorial Guinea,1.4,33,9,2.4,12,2.2,2.9,65,4.5,37,2,13,10,21
Gabon,2.2,26,6,2.0,7,3.1,4.1,33,3.5,37,4,31,19,34
São Tomé and Príncipe,0.2,26,6,2.0,-7,0.3,0.4,31,3.3,38,3,41,37,51
Southern Africa,68,20,9,1.1,3,79,87,25,2.4,29,6,56,55,78
Botswana,2.3,21,9,1.2,3,2.8,3.2,28,2.5,31,5,67,—,—
eSwatini,1.1,25,10,1.5,-6,1.2,1.3,45,2.6,34,4,66,66,81
Lesotho,2.1,23,14,0.9,-4,2.3,2.4,62,2.7,32,5,65,65,80
Namibia,2.5,28,8,2.0,-2,3.3,4.0,32,3.4,37,4,56,55,75
South Africa,59.6,20,9,1.1,4,69.2,75.9,22,2.3,29,6,55,54,78
