Region,Population(millions)mid-2020,"Births per 1,000Population","Deaths per 1,000 Population",Rate of Natural Increase (%),Net Migration Rate,Population(millions) in mid-2035,Population(millions) in mid-2050,Infant Mortality Rate,Total Fertility Rate,Population (%)mid-2020 for Ages <15,Population (%)mid-2020 for Ages 65+,"Family Planning AmongMarried Women Ages 15-49 Using All
Methods (%)",Family Planning AmongMarried Women Ages 15-49c Using Modern Methods (%),Demand Satisfied by Modern Methods (%) 
OCEANIA,43,17,7,1.0,6,53,63,16,2.3,23,12,60,56,—
Australia,25.8,13,6,0.6,9,31.8,37.1,3.1,1.7,19,16,67,65,—
Federated States of Micronesia,0.1,24,5,1.8,-16,0.1,0.1,29,3.2,32,4,—,—,—
Fiji,0.9,18,8,1.0,-6,0.9,0.9,14,2.4,29,6,—,—,—
French Polynesia,0.3,15,6,1.0,-4,0.3,0.3,6.7,2.0,23,8,—,—,—
Guam,0.2,18,6,1.3,-4,0.2,0.2,10.3,3.0,25,10,—,—,—
Kiribati,0.1,26,7,1.9,-1,0.2,0.2,41,3.3,35,4,34,27,54
Marshall Islands,0.06,25,4,2.1,-18,0.06,0.06,23,3.8,39,3,45,42,80
Nauru,0.01,29,8,2.1,-11,0.01,0.01,35,3.7,40,13,36,25,42
New Caledonia,0.3,17,6,1.1,4,0.3,0.4,4,2.3,23,9,—,—,—
New Zealand,5.0,12,7,0.5,9,5.7,6.1,4.5,1.8,19,16,80g,75g,—
Palau,0.02,14,9,0.5,-3,0.02,0.02,17,2.4,20,7,—,—,—
Papua New Guinea,9.0,32,11,2.1,0,11.8,15.1,33,4.2,36,3,37,31,49
Samoa,0.2,27,5,2.2,-15,0.2,0.2,14,4.3,38,5,27,24,39
Solomon Islands,0.7,30,5,2.5,-2,1.0,1.4,19,4.1,40,4,29,24,38
Tonga,0.1,24,7,1.7,-19,0.1,0.09,17,3.5,36,6,34,28,48
Tuvalu,0.01,25,9,1.6,-12,0.01,0.01,21,3.6,31,5,31,22,41
Vanuatu,0.3,29,4,2.5,0,0.4,0.6,28,3.7,39,4,49,37,51
