Region,Population(millions)mid-2020,"Births per 1,000Population","Deaths per 1,000 Population",Rate of Natural Increase (%),Net Migration Rate,Population(millions) in mid-2035,Population(millions) in mid-2050,Infant Mortality Rate,Total Fertility Rate,Population (%)mid-2020 for Ages <15,Population (%)mid-2020 for Ages 65+,"Family Planning AmongMarried Women Ages 15-49 Using All
Methods (%)",Family Planning AmongMarried Women Ages 15-49c Using Modern Methods (%),Demand Satisfied by Modern Methods (%) 
South America,429,15,6,0.9,-1,476,497,13,2.0,23,9,79,74,—
Argentina,45.4,17,8,0.9,0,51.2,56.1,8.8,2.3,24,12,81g,78g,—
Bolivia,11.6,22,6,1.6,-2,14.1,16.5,29,2.8,31,7,67,45,—
Brazil,211.8,14,6,0.8,0,229.2,232.9,10,1.7,21,9,80,78,—
Chile,19.5,12,6,0.6,13,21.1,21.6,5.6,1.6,19,12,76,70,—
Colombia,49.4,13,5,0.9,4,54.0,55.4,14,2.0,24,9,81,76,86
Ecuador,17.5,17,4,1.3,1,20.7,23.1,11,2.3,29,7,80,72,80
French Guiana,0.3,27,4,2.4,1,0.4,0.5,10,3.6,32,6,—,—,—
Guyana,0.8,20,8,1.2,-7,0.8,0.8,26,2.4,28,7,34,33,52
Paraguay,7.3,21,6,1.5,-2,8.4,9.3,17,2.5,30,6,68,67,83
Peru,32.8,19,5,1.4,-3,37.2,40.2,15,2.2,26,8,76,55,67
Suriname,0.6,17,6,1.0,-2,0.7,0.8,17,2.8,27,7,39,39,57
Uruguay,3.5,13,9,0.4,0,3.7,3.7,6.5,1.8,20,14,80g,78g,—
Venezuela,28.6,18,7,1.1,-21,34.2,36.2,28,2.3,26,8,75,—,—
