Region,Population(millions)mid-2020,"Births per 1,000Population","Deaths per 1,000 Population",Rate of Natural Increase (%),Net Migration Rate,Population(millions) in mid-2035,Population(millions) in mid-2050,Infant Mortality Rate,Total Fertility Rate,Population (%)mid-2020 for Ages <15,Population (%)mid-2020 for Ages 65+,"Family Planning AmongMarried Women Ages 15-49 Using All
Methods (%)",Family Planning AmongMarried Women Ages 15-49c Using Modern Methods (%),Demand Satisfied by Modern Methods (%) 
Southern Europe,153,8,10,-0.2,2,153,148,3,1.3,14,21,63,51,—
Albania,2.8,10,8,0.2,-8,2.7,2.4,8.9,1.8,17,14,46,4,6
Andorra,0.08,7,4,0.3,15,0.08,0.08,3.4,1.0,13,15,—,—,—
Bosnia-Herzegovina,3.3,8,11,-0.3,-4,3.0,2.7,6,1.3,15,17,46,12,22
Croatia,4.0,9,13,-0.4,-3,3.8,3.4,4.0,1.5,14,20,—,—,—
Greece,10.7,8,11,-0.3,2,9.7,9.0,3.5,1.4,14,22,—,—,—
Italy,60.3,7,11,-0.4,2,59.7,57.8,2.8,1.3,13,23,65,52,—
Kosovoi,1.8,12,5,0.7,-9,1.8,1.7,8,1.6,24,9,—,—,—
Malta,0.5,9,8,0.2,20,0.5,0.5,6.6,1.2,14,19,—,—,—
Montenegro,0.6,12,11,0.1,-1,0.6,0.7,1.7,1.8,18,15,21,12,28
North Macedonia,2.1,10,10,0.1,2,2.0,1.9,6,1.4,16,14,40,13,—
Portugal,10.3,9,11,-0.3,1,9.9,9.4,3.2,1.4,14,22,74g,67g,—
San Marino,0.03,7,7,-0.1,5,0.03,0.03,3.8,1.3,15,18,—,—,—
Serbia,7.0,9,15,-0.5,0,8.0,7.1,4.9,1.5,14,20,58,18,25
Slovenia,2.1,10,10,0.0,1,2.1,2.0,1.9,1.6,15,19,—,—,—
Spain,47.6,8,9,-0.1,4,49.2,49.6,2.6,1.3,15,19,62,60,—
